"Comment","Designator","Footprint","LCSC Part Number"
"10u","C1","C_0402_1005Metric","C15525"
"100n","C2,C3,C5,C6,C9,C12,C13,C14,C15,C16,C17,C19,C20","C_0402_1005Metric","C307331"
"4.7u","C4","C_0402_1005Metric","C23733"
"1u","C7,C10","C_0402_1005Metric","C307454"
"30pF","C8,C11","C_0402_1005Metric","C1570"
"CBG201209U500T","FB1,FB2,FB3,FB4","L_0805_2012Metric","C668236"
"TYPE-C-31-M-12","J8,J9","USB_C_Receptacle_HRO_TYPE-C-31-M-12","C165948"
"DMG2301L-7","Q1,Q2,Q3,Q4,Q5","SOT-23","C102619"
"1.5k","R1","R_0402_1005Metric","C25867"
"1k","R2,R3","C_0402_1005Metric","C11702"
"10k","R4","R_0402_1005Metric","C25744"
"27","R5,R6","C_0402_1005Metric","C25771"
"100k","R7","R_0402_1005Metric","C25741"
"390k","R8","R_0402_1005Metric","C25782"
"2k","R9,R10,R11,R12,R13","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder","C4109"
"5.1k","R14,R15,R16,R17","R_0402_1005Metric","C25905"
"Reset","SW1","SW_TS-1187A-B-A-B","C318884"
"Boot","SW2","SW_TS-1187A-B-A-B","C318884"
"XC6220B331MR","U1","SOT-23-5","C3040644"
"RP2040","U2","RP2040-QFN-56","C2040"
"W25Q128JVS","U3","SOIC-8_5.23x5.23mm_P1.27mm","C97521"
"COS724","U4,U5","TSSOP-14_4.4x5mm_P0.65mm","C2685541"
"USBLC6-2SC6","U6,U7","SOT-23-6","C7519"
"Crystal_GND24","Y1","OSC_X322516MLB4SI","C9002"
