Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,10u,C_0402_1005Metric,173.700000,-47.600000,0.000000,top
C2,100n,C_0402_1005Metric,174.210000,-94.860000,0.000000,top
C3,100n,C_0402_1005Metric,157.100000,-49.157500,90.000000,top
C4,4.7u,C_0402_1005Metric,168.800000,-50.390000,90.000000,top
C5,100n,C_0402_1005Metric,161.400000,-63.900000,90.000000,top
C6,100n,C_0402_1005Metric,162.660000,-76.467939,-90.000000,top
C7,1u,C_0402_1005Metric,164.100000,-64.560000,90.000000,top
C8,30pF,C_0402_1005Metric,157.690000,-80.980000,90.000000,top
C9,100n,C_0402_1005Metric,167.590000,-71.640000,-45.000000,top
C10,1u,C_0402_1005Metric,165.200000,-64.560000,90.000000,top
C11,30pF,C_0402_1005Metric,162.980000,-80.980000,-90.000000,top
C12,100n,C_0402_1005Metric,166.800000,-65.700000,45.000000,top
C13,100n,C_0402_1005Metric,161.600000,-76.467939,-90.000000,top
C14,100n,C_0402_1005Metric,162.400000,-63.900000,90.000000,top
C15,100n,C_0402_1005Metric,155.500000,-52.800000,90.000000,top
C16,100n,C_0402_1005Metric,157.000000,-65.800000,90.000000,top
C17,100n,C_0402_1005Metric,155.730000,-71.620000,-135.000000,top
C19,100n,C_0402_1005Metric,168.200000,-43.730000,-90.000000,top
C20,100n,C_0402_1005Metric,186.600000,-43.730000,-90.000000,top
FB1,CBG201209U500T,L_0805_2012Metric,159.860000,-44.570000,-90.000000,top
FB2,CBG201209U500T,L_0805_2012Metric,176.700000,-44.570000,-90.000000,top
FB3,CBG201209U500T,L_0805_2012Metric,170.000000,-44.570000,90.000000,top
FB4,CBG201209U500T,L_0805_2012Metric,178.600000,-44.570000,90.000000,top
J8,TYPE-C-31-M-12,USB_C_Receptacle_HRO_TYPE-C-31-M-12,164.180000,-38.300000,180.000000,top
J9,TYPE-C-31-M-12,USB_C_Receptacle_HRO_TYPE-C-31-M-12,182.580000,-38.300000,180.000000,top
Q1,DMG2301L-7,SOT-23,176.882500,-55.060000,0.000000,top
Q2,DMG2301L-7,SOT-23,176.882500,-60.150000,0.000000,top
Q3,DMG2301L-7,SOT-23,176.882500,-65.250000,0.000000,top
Q4,DMG2301L-7,SOT-23,176.882500,-70.350000,0.000000,top
Q5,DMG2301L-7,SOT-23,176.882500,-75.450000,0.000000,top
R1,1.5k,R_0402_1005Metric,174.190000,-93.710000,0.000000,top
R2,1k,C_0402_1005Metric,154.100000,-50.600000,-90.000000,top
R3,1k,C_0402_1005Metric,161.500000,-78.730000,0.000000,top
R4,10k,R_0402_1005Metric,155.500000,-64.210000,90.000000,top
R5,27,C_0402_1005Metric,162.690000,-61.900000,-90.000000,top
R6,27,C_0402_1005Metric,163.730000,-61.900000,-90.000000,top
R7,100k,R_0402_1005Metric,175.200000,-81.942500,-90.000000,top
R8,390k,R_0402_1005Metric,175.200000,-84.560000,-90.000000,top
R9,2k,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,177.225000,-80.700000,0.000000,top
R10,2k,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,180.475000,-80.700000,180.000000,top
R11,2k,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,180.475000,-89.600000,180.000000,top
R12,2k,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,188.695000,-80.700000,180.000000,top
R13,2k,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,185.445000,-80.700000,0.000000,top
R14,5.1k,R_0402_1005Metric,161.800000,-43.750000,-90.000000,top
R15,5.1k,R_0402_1005Metric,180.200000,-43.750000,-90.000000,top
R16,5.1k,R_0402_1005Metric,166.600000,-43.750000,-90.000000,top
R17,5.1k,R_0402_1005Metric,185.000000,-43.750000,-90.000000,top
SW1,Reset,SW_TS-1187A-B-A-B,178.090000,-94.285000,0.000000,top
SW2,Boot,SW_TS-1187A-B-A-B,153.600000,-46.637500,-90.000000,top
U1,XC6220B331MR,SOT-23-5,171.400000,-49.920000,0.000000,top
U2,RP2040,RP2040-QFN-56,161.640000,-69.830000,0.000000,top
U3,W25Q128JVS,SOIC-8_5.23x5.23mm_P1.27mm,157.400000,-58.500000,0.000000,top
U4,COS724,TSSOP-14_4.4x5mm_P0.65mm,178.850000,-85.162500,180.000000,top
U5,COS724,TSSOP-14_4.4x5mm_P0.65mm,187.070000,-85.162500,180.000000,top
U6,USBLC6-2SC6,SOT-23-6,164.180000,-44.720000,180.000000,top
U7,USBLC6-2SC6,SOT-23-6,182.580000,-44.720000,180.000000,top
Y1,Crystal_GND24,OSC_X322516MLB4SI,160.340000,-80.980000,0.000000,top
